scenario,iteration,latency_ms
raft/1-node (f=0 fast path),126,98.3348
raft/1-node (f=0 fast path),127,100.4888
raft/1-node (f=0 fast path),128,101.2707
raft/1-node (f=0 fast path),129,99.8268
raft/1-node (f=0 fast path),130,98.6386
raft/1-node (f=0 fast path),131,100.6745
raft/1-node (f=0 fast path),132,99.1352
raft/1-node (f=0 fast path),133,99.9985
raft/1-node (f=0 fast path),134,99.8437
raft/1-node (f=0 fast path),135,100.6917
raft/1-node (f=0 fast path),136,99.9512
raft/1-node (f=0 fast path),137,99.1896
raft/1-node (f=0 fast path),138,101.5146
raft/1-node (f=0 fast path),139,98.9172
raft/1-node (f=0 fast path),140,100.2922
raft/1-node (f=0 fast path),141,99.5950
raft/1-node (f=0 fast path),142,100.1553
raft/1-node (f=0 fast path),143,100.1561
raft/1-node (f=0 fast path),144,100.4158
raft/1-node (f=0 fast path),145,99.4331
raft/1-node (f=0 fast path),146,98.9986
raft/1-node (f=0 fast path),147,102.7809
raft/1-node (f=0 fast path),148,98.9230
raft/1-node (f=0 fast path),149,98.9201
raft/1-node (f=0 fast path),150,99.4666
raft/1-node (f=0 fast path),151,101.6719
raft/1-node (f=0 fast path),152,99.9133
raft/1-node (f=0 fast path),153,98.8515
raft/1-node (f=0 fast path),154,99.7693
raft/1-node (f=0 fast path),155,99.4905
raft/1-node (f=0 fast path),156,101.5687
raft/1-node (f=0 fast path),157,99.8364
raft/1-node (f=0 fast path),158,100.2431
raft/1-node (f=0 fast path),159,98.6634
raft/1-node (f=0 fast path),160,101.4490
raft/1-node (f=0 fast path),161,99.2302
raft/1-node (f=0 fast path),162,100.4455
raft/1-node (f=0 fast path),163,98.8130
raft/1-node (f=0 fast path),164,100.9939
raft/1-node (f=0 fast path),165,100.1016
raft/1-node (f=0 fast path),166,100.1715
raft/1-node (f=0 fast path),167,99.2536
raft/1-node (f=0 fast path),168,100.7638
raft/1-node (f=0 fast path),169,98.7550
raft/1-node (f=0 fast path),170,100.5192
raft/1-node (f=0 fast path),171,100.4472
raft/1-node (f=0 fast path),172,99.3141
raft/1-node (f=0 fast path),173,99.1391
raft/1-node (f=0 fast path),174,100.9728
raft/1-node (f=0 fast path),175,100.3887
raft/1-node (f=0 fast path),176,100.4098
raft/1-node (f=0 fast path),177,100.4274
raft/1-node (f=0 fast path),178,98.8135
raft/1-node (f=0 fast path),179,100.5977
raft/1-node (f=0 fast path),180,100.2008
raft/1-node (f=0 fast path),181,99.7852
raft/1-node (f=0 fast path),182,98.7826
raft/1-node (f=0 fast path),183,100.0966
raft/1-node (f=0 fast path),184,100.9132
raft/1-node (f=0 fast path),185,101.0995
raft/1-node (f=0 fast path),186,97.4119
raft/1-node (f=0 fast path),187,101.5594
raft/1-node (f=0 fast path),188,99.4524
raft/1-node (f=0 fast path),189,101.8487
raft/1-node (f=0 fast path),190,98.5736
raft/1-node (f=0 fast path),191,100.8368
raft/1-node (f=0 fast path),192,99.1440
raft/1-node (f=0 fast path),193,99.4994
raft/1-node (f=0 fast path),194,100.7834
raft/1-node (f=0 fast path),195,100.2803
raft/1-node (f=0 fast path),196,99.8474
raft/1-node (f=0 fast path),197,98.1694
raft/1-node (f=0 fast path),198,101.5929
raft/1-node (f=0 fast path),199,100.0718
"raft/3-node (f=1, CFT)",0,2.5824
"raft/3-node (f=1, CFT)",1,2.1776
"raft/3-node (f=1, CFT)",2,1.7812
"raft/3-node (f=1, CFT)",3,1.2823
"raft/3-node (f=1, CFT)",4,1.7503
"raft/3-node (f=1, CFT)",5,1.2305
"raft/3-node (f=1, CFT)",6,1.5085
"raft/3-node (f=1, CFT)",7,1.4761
"raft/3-node (f=1, CFT)",8,1.3888
"raft/3-node (f=1, CFT)",9,2.4859
"raft/3-node (f=1, CFT)",10,1.2296
"raft/3-node (f=1, CFT)",11,1.3725
"raft/3-node (f=1, CFT)",12,1.1924
"raft/3-node (f=1, CFT)",13,1.1218
"raft/3-node (f=1, CFT)",14,1.2397
"raft/3-node (f=1, CFT)",15,1.0584
"raft/3-node (f=1, CFT)",16,1.1660
"raft/3-node (f=1, CFT)",17,1.0901
"raft/3-node (f=1, CFT)",18,1.2302
"raft/3-node (f=1, CFT)",19,1.0025
"raft/3-node (f=1, CFT)",20,1.6247
"raft/3-node (f=1, CFT)",21,1.4683
"raft/3-node (f=1, CFT)",22,1.1250
"raft/3-node (f=1, CFT)",23,1.0586
"raft/3-node (f=1, CFT)",24,1.1548
"raft/3-node (f=1, CFT)",25,1.2183
"raft/3-node (f=1, CFT)",26,1.0712
"raft/3-node (f=1, CFT)",27,1.0256
"raft/3-node (f=1, CFT)",28,1.0420
"raft/3-node (f=1, CFT)",29,1.0979
"raft/3-node (f=1, CFT)",30,0.9740
"raft/3-node (f=1, CFT)",31,0.8739
"raft/3-node (f=1, CFT)",32,0.7332
"raft/3-node (f=1, CFT)",33,1.9871
"raft/3-node (f=1, CFT)",34,1.0524
"raft/3-node (f=1, CFT)",35,0.9227
"raft/3-node (f=1, CFT)",36,1.2067
"raft/3-node (f=1, CFT)",37,0.7496
"raft/3-node (f=1, CFT)",38,0.8855
"raft/3-node (f=1, CFT)",39,0.8278
"raft/3-node (f=1, CFT)",40,0.8855
"raft/3-node (f=1, CFT)",41,0.9595
"raft/3-node (f=1, CFT)",42,1.0543
"raft/3-node (f=1, CFT)",43,0.9855
"raft/3-node (f=1, CFT)",44,0.8167
"raft/3-node (f=1, CFT)",45,0.9225
"raft/3-node (f=1, CFT)",46,1.0433
"raft/3-node (f=1, CFT)",47,0.7951
"raft/3-node (f=1, CFT)",48,2.6470
"raft/3-node (f=1, CFT)",49,0.6880
"raft/3-node (f=1, CFT)",50,0.8791
"raft/3-node (f=1, CFT)",51,0.9157
"raft/3-node (f=1, CFT)",52,0.9488
"raft/3-node (f=1, CFT)",53,0.9534
"raft/3-node (f=1, CFT)",54,0.9378
"raft/3-node (f=1, CFT)",55,0.7142
"raft/3-node (f=1, CFT)",56,0.7786
"raft/3-node (f=1, CFT)",57,0.9738
"raft/3-node (f=1, CFT)",58,1.2884
"raft/3-node (f=1, CFT)",59,1.2774
"raft/3-node (f=1, CFT)",60,1.0976
"raft/3-node (f=1, CFT)",61,0.7912
"raft/3-node (f=1, CFT)",62,0.9532
"raft/3-node (f=1, CFT)",63,0.8830
"raft/3-node (f=1, CFT)",64,2.4638
"raft/3-node (f=1, CFT)",65,0.8589
"raft/3-node (f=1, CFT)",66,0.8582
"raft/3-node (f=1, CFT)",67,0.9004
"raft/3-node (f=1, CFT)",68,1.2428
"raft/3-node (f=1, CFT)",69,0.9602
"raft/3-node (f=1, CFT)",70,0.8498
"raft/3-node (f=1, CFT)",71,0.9185
"raft/3-node (f=1, CFT)",72,1.0702
"raft/3-node (f=1, CFT)",73,0.9792
"raft/3-node (f=1, CFT)",74,0.9483
"raft/3-node (f=1, CFT)",75,0.9552
