scenario,n,min_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_ms,stddev_ms
raft/1-node (f=0 fast path),200,97.4119,100.0538,101.3984,101.5929,102.3950,102.9321,99.9862,1.0593
"raft/3-node (f=1, CFT)",200,0.6880,1.0181,1.3888,1.7539,2.4859,2.6470,1.0996,0.3260
tendermint/1-node,200,0.4174,0.5807,1.3358,1.9464,2.4023,3.2681,0.7708,0.4736
