scenario,iteration,latency_ms
raft/1-node epoch=20ms,12,102.5360
raft/1-node epoch=20ms,13,96.9559
raft/1-node epoch=20ms,14,98.4917
raft/1-node epoch=20ms,15,103.8913
raft/1-node epoch=20ms,16,96.6192
raft/1-node epoch=20ms,17,100.0173
raft/1-node epoch=20ms,18,99.4060
raft/1-node epoch=20ms,19,99.7567
raft/1-node epoch=20ms,20,101.1901
raft/1-node epoch=20ms,21,99.4549
raft/1-node epoch=20ms,22,101.0422
raft/1-node epoch=20ms,23,101.6940
raft/1-node epoch=20ms,24,97.6599
raft/1-node epoch=20ms,25,101.0430
raft/1-node epoch=20ms,26,99.1463
raft/1-node epoch=20ms,27,99.0682
raft/1-node epoch=20ms,28,101.7540
raft/1-node epoch=20ms,29,99.6985
raft/1-node epoch=20ms,30,100.6893
raft/1-node epoch=20ms,31,99.6297
raft/1-node epoch=20ms,32,103.2297
raft/1-node epoch=20ms,33,97.0699
raft/1-node epoch=20ms,34,99.1782
raft/1-node epoch=20ms,35,100.3146
raft/1-node epoch=20ms,36,99.9129
raft/1-node epoch=20ms,37,98.7200
raft/1-node epoch=20ms,38,101.5210
raft/1-node epoch=20ms,39,97.2205
raft/1-node epoch=20ms,40,104.7805
raft/1-node epoch=20ms,41,97.8802
raft/1-node epoch=20ms,42,99.5590
raft/1-node epoch=20ms,43,100.5386
raft/1-node epoch=20ms,44,98.0106
raft/1-node epoch=20ms,45,101.3106
raft/1-node epoch=20ms,46,100.6127
raft/1-node epoch=20ms,47,99.0036
raft/1-node epoch=20ms,48,100.7349
raft/1-node epoch=20ms,49,100.9447
raft/1-node epoch=20ms,50,98.7086
raft/1-node epoch=20ms,51,103.0068
raft/1-node epoch=20ms,52,97.3045
raft/1-node epoch=20ms,53,99.9593
raft/1-node epoch=20ms,54,97.7248
raft/1-node epoch=20ms,55,101.5175
raft/1-node epoch=20ms,56,99.8949
raft/1-node epoch=20ms,57,98.9069
raft/1-node epoch=20ms,58,101.0438
raft/1-node epoch=20ms,59,100.4832
raft/1-node epoch=500ms,0,99.4695
raft/1-node epoch=500ms,1,101.3548
raft/1-node epoch=500ms,2,98.6672
raft/1-node epoch=500ms,3,100.8450
raft/1-node epoch=500ms,4,99.2234
raft/1-node epoch=500ms,5,100.3779
raft/1-node epoch=500ms,6,100.1799
raft/1-node epoch=500ms,7,100.3959
raft/1-node epoch=500ms,8,100.0784
raft/1-node epoch=500ms,9,99.1278
raft/1-node epoch=500ms,10,99.3283
raft/1-node epoch=500ms,11,101.0964
raft/1-node epoch=500ms,12,98.9463
raft/1-node epoch=500ms,13,100.1953
raft/1-node epoch=500ms,14,99.9055
raft/1-node epoch=500ms,15,101.0020
raft/1-node epoch=500ms,16,99.8785
raft/1-node epoch=500ms,17,98.8601
raft/1-node epoch=500ms,18,100.9134
raft/1-node epoch=500ms,19,100.5444
raft/1-node epoch=500ms,20,99.0019
raft/1-node epoch=500ms,21,100.5002
raft/1-node epoch=500ms,22,100.3497
raft/1-node epoch=500ms,23,98.0009
raft/1-node epoch=500ms,24,101.2441
raft/1-node epoch=500ms,25,100.4958
raft/1-node epoch=500ms,26,99.6169
raft/1-node epoch=500ms,27,99.7231
raft/1-node epoch=500ms,28,101.1008
raft/1-node epoch=500ms,29,99.2383
raft/1-node epoch=500ms,30,100.0527
raft/1-node epoch=500ms,31,99.9095
raft/1-node epoch=500ms,32,100.6407
raft/1-node epoch=500ms,33,98.7825
raft/1-node epoch=500ms,34,100.6340
raft/1-node epoch=500ms,35,99.0835
raft/1-node epoch=500ms,36,102.1375
raft/1-node epoch=500ms,37,99.4391
raft/1-node epoch=500ms,38,100.0019
raft/1-node epoch=500ms,39,98.6550
raft/1-node epoch=500ms,40,102.8831
raft/1-node epoch=500ms,41,97.8727
raft/1-node epoch=500ms,42,99.7625
raft/1-node epoch=500ms,43,99.2133
raft/1-node epoch=500ms,44,104.0138
raft/1-node epoch=500ms,45,94.7569
raft/1-node epoch=500ms,46,101.7580
raft/1-node epoch=500ms,47,100.3750
raft/1-node epoch=500ms,48,100.1947
raft/1-node epoch=500ms,49,99.6628
raft/1-node epoch=500ms,50,100.1505
raft/1-node epoch=500ms,51,100.2375
raft/1-node epoch=500ms,52,99.4745
raft/1-node epoch=500ms,53,98.6908
raft/1-node epoch=500ms,54,101.1267
raft/1-node epoch=500ms,55,99.0679
raft/1-node epoch=500ms,56,100.1734
raft/1-node epoch=500ms,57,99.4237
raft/1-node epoch=500ms,58,102.0835
raft/1-node epoch=500ms,59,100.0542
raft/1-node epoch=50ms,0,101.1552
raft/1-node epoch=50ms,1,99.7024
raft/1-node epoch=50ms,2,98.7111
raft/1-node epoch=50ms,3,99.6861
raft/1-node epoch=50ms,4,101.8897
raft/1-node epoch=50ms,5,99.5228
raft/1-node epoch=50ms,6,99.5127
raft/1-node epoch=50ms,7,100.7145
raft/1-node epoch=50ms,8,99.6580
raft/1-node epoch=50ms,9,99.0247
raft/1-node epoch=50ms,10,100.8053
raft/1-node epoch=50ms,11,98.8496
raft/1-node epoch=50ms,12,101.4418
raft/1-node epoch=50ms,13,98.7999
raft/1-node epoch=50ms,14,100.2210
raft/1-node epoch=50ms,15,101.0904
raft/1-node epoch=50ms,16,98.2677
raft/1-node epoch=50ms,17,101.5454
raft/1-node epoch=50ms,18,99.4201
raft/1-node epoch=50ms,19,100.1912
raft/1-node epoch=50ms,20,100.3975
raft/1-node epoch=50ms,21,99.9856
raft/1-node epoch=50ms,22,98.7020
raft/1-node epoch=50ms,23,99.4691
raft/1-node epoch=50ms,24,99.6889
raft/1-node epoch=50ms,25,100.7546
raft/1-node epoch=50ms,26,99.2424
raft/1-node epoch=50ms,27,101.4326
raft/1-node epoch=50ms,28,98.2886
raft/1-node epoch=50ms,29,101.8335
raft/1-node epoch=50ms,30,99.4867
raft/1-node epoch=50ms,31,99.5267
raft/1-node epoch=50ms,32,98.9541
raft/1-node epoch=50ms,33,100.7647
raft/1-node epoch=50ms,34,100.8628
raft/1-node epoch=50ms,35,98.7477
raft/1-node epoch=50ms,36,101.2056
raft/1-node epoch=50ms,37,100.1648
raft/1-node epoch=50ms,38,99.7960
raft/1-node epoch=50ms,39,100.4742
raft/1-node epoch=50ms,40,99.6623
raft/1-node epoch=50ms,41,99.3292
raft/1-node epoch=50ms,42,100.8078
raft/1-node epoch=50ms,43,98.3918
raft/1-node epoch=50ms,44,101.2361
raft/1-node epoch=50ms,45,99.9527
raft/1-node epoch=50ms,46,98.5221
raft/1-node epoch=50ms,47,102.0166
raft/1-node epoch=50ms,48,100.0700
raft/1-node epoch=50ms,49,98.0119
raft/1-node epoch=50ms,50,101.7788
raft/1-node epoch=50ms,51,99.4630
raft/1-node epoch=50ms,52,99.9689
raft/1-node epoch=50ms,53,99.6738
raft/1-node epoch=50ms,54,99.4743
raft/1-node epoch=50ms,55,101.3403
raft/1-node epoch=50ms,56,98.9683
raft/1-node epoch=50ms,57,100.6292
raft/1-node epoch=50ms,58,100.2536
raft/1-node epoch=50ms,59,99.7127
