scenario,n,min_ms,p50_ms,p90_ms,p95_ms,p99_ms,max_ms,mean_ms,stddev_ms
raft/1-node epoch=100ms,60,97.2500,99.9007,101.6915,101.8774,104.0735,104.0735,99.9770,1.4212
raft/1-node epoch=200ms,60,96.5728,99.8088,101.6479,102.5179,102.9564,102.9564,99.9724,1.3490
raft/1-node epoch=20ms,60,96.6192,99.8949,101.7540,103.0068,104.7805,104.7805,99.9776,1.7146
raft/1-node epoch=500ms,60,94.7569,100.0527,101.2441,102.0835,104.0138,104.0138,99.9996,1.2974
raft/1-node epoch=50ms,60,98.0119,99.7127,101.4326,101.7788,102.0166,102.0166,99.9875,1.0165
